"filename", "language", "Markdown", "PowerShell", "Batch", "Python", "JSON with Comments", "YAML", "XML", "JSON", "TypeScript", "TypeScript JSX", "Log", "pip requirements", "Ini", "MS SQL", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\00-tastemap-context.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 207
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\01-frontend-ui.md", "Markdown", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 475
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\02-backend-api.md", "Markdown", 513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 654
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\03-database-vectors.md", "Markdown", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 699
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\04-ai-algorithm.md", "Markdown", 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 761
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\05-realtime-websocket.md", "Markdown", 696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 843
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\06-onceUI-styling.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\rules\07-docs-first.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 59
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\ai-feature.md", "Markdown", 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 901
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\api-endpoint.md", "Markdown", 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 703
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\component-creation.md", "Markdown", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 497
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\discover-plan.md", "Markdown", 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 546
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\feature-implementation.md", "Markdown", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 411
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.agents\workflows\migration-safe.md", "Markdown", 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 579
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\.windsurf\rules\00-tastemap-context.md", "Markdown", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 207
